Top Çalma,Pas Arası,Top Uzaklaştırma,İsabetli Pas,İsabetli Pas %,İsabetli Orta,İsabetli Orta %,İsabetli Uzun Top,İsabetli Uzun Top %,Başarılı Top Sürme,Zeminde Kazanılan İkili Mücadele,Kazanılan Hava Topu Mücadelesi,Kazanılan Toplam İkili Mücadele,Kazanılan Toplam İkili Mücadele %,player.name,player.slug,team.name,team.shortName
1.7,0.39,0.65,38.45,80.07,1.57,21.56,3.39,65.0,1.04,4.44,0.7,5.13,53.64,Valentin Eysseric,valentin-eysseric,Fatih Karagümrük,
2.55,0.47,0.44,20.79,78.19,1.53,31.82,0.95,55.32,0.26,4.3,0.22,4.52,50.0,Sebastian Szymański,sebastian-szymanski,Fenerbahçe,
0.59,0.07,0.8,19.82,69.57,0.14,12.5,1.22,61.4,0.77,2.48,2.52,5.0,45.4,Edin Džeko,edin-dzeko,Fenerbahçe,
1.43,0.48,0.26,27.05,76.94,2.08,30.97,1.47,52.31,0.56,3.16,0.17,3.34,38.31,Dries Mertens,dries-mertens,Galatasaray,
0.22,0.11,0.67,12.01,73.79,0.0,0.0,0.52,60.87,0.19,1.16,1.87,3.03,47.65,Mauro Icardi,mauro-icardi,Galatasaray,
2.03,0.91,1.6,46.11,84.71,0.66,33.33,2.72,59.59,1.66,5.29,0.72,6.01,60.0,Ferdi Kadıoğlu,ferdi-kadioglu,Fenerbahçe,
0.92,0.43,0.36,28.34,74.78,1.51,33.09,0.43,19.4,0.89,2.99,0.43,3.41,44.44,Dušan Tadić,dusan-tadic,Fenerbahçe,
1.76,0.5,0.47,29.89,74.26,1.61,26.42,2.65,56.38,0.72,4.44,0.69,5.13,50.78,Haris Hajradinović,haris-hajradinovic,Kasımpaşa,
0.47,0.08,1.33,13.44,66.67,0.08,50.0,0.86,73.33,0.7,2.89,6.25,9.14,48.35,Paul Onuachu,paul-onuachu,Trabzonspor,
0.97,0.5,0.39,19.78,65.98,1.43,30.83,1.39,46.75,1.04,2.94,0.66,3.59,41.89,Kerem Aktürkoğlu,kerem-akturkoglu,Galatasaray,
