Gol,Gol Beklentisi (xG),Toplam Şut,İsabetli Şut,Pozisyonu Gole Çevirme %,Başarılı Top Sürme,Başarılı Top Sürme %,Yaratılan Büyük Şans,Kilit Pas,Rakip Gol Bölgesinde İsabetli Pas,Zeminde Kazanılan İkili Mücadele,Kazanılan Hava Topu Mücadelesi,Kazanılan Toplam İkili Mücadele %,Kendisine Yapılan Faul,player.name,player.slug,team.name,team.shortName
1.73,1.78,6.91,3.84,25.0,0.58,42.86,0.19,0.58,7.68,2.11,1.15,34.0,0.58,Michy Batshuayi,michy-batshuayi,Fenerbahçe,
0.9,0.32,3.7,1.8,24.32,0.6,28.57,0.4,2.0,12.29,2.7,0.4,37.35,1.0,Cengiz Ünder,cengiz-under,Fenerbahçe,
0.76,0.53,3.68,1.56,20.55,0.55,34.38,0.05,0.35,4.19,3.78,2.52,43.86,2.88,Rey Manaj,rey-manaj,Sivasspor,
0.73,0.54,2.72,1.36,26.67,0.54,46.15,0.0,0.82,3.72,1.72,1.27,35.48,0.91,M'Baye Niang,mbaye-niang,Adana Demirspor,
0.71,0.71,3.53,1.51,20.24,0.17,33.33,0.29,1.51,5.38,1.09,2.02,47.13,0.76,Mauro Icardi,mauro-icardi,Galatasaray,
0.7,0.7,4.72,2.05,14.75,0.77,37.04,0.31,1.2,8.86,2.55,2.52,45.02,1.28,Edin Džeko,edin-dzeko,Fenerbahçe,
0.68,0.33,3.49,1.52,19.57,2.35,54.39,0.08,0.76,4.55,4.78,0.91,39.89,1.67,Semih Kılıçsoy,semih-kilicsoy,Beşiktaş,
0.63,0.45,3.52,1.17,17.78,0.7,64.29,0.16,0.94,3.98,2.89,6.25,48.35,1.8,Paul Onuachu,paul-onuachu,Trabzonspor,
0.61,0.39,2.6,1.05,23.4,1.88,58.62,0.17,1.05,5.32,4.54,2.49,50.4,1.94,Nuno Da Costa,nuno-da-costa,Kasımpaşa,
0.61,0.26,2.9,1.22,20.93,2.7,53.33,0.14,1.49,10.87,7.02,0.27,55.67,2.57,Wilfried Zaha,wilfried-zaha,Galatasaray,
0.59,0.42,3.46,1.33,17.02,1.55,38.18,0.52,1.77,12.52,5.01,0.29,43.64,2.21,Mahmoud Trézéguet,mahmoud-trezeguet,Trabzonspor,
0.57,0.48,3.1,1.72,18.52,1.15,55.56,0.0,1.15,7.81,3.56,3.1,50.43,2.18,Bengali-Fodé Koita,bengali-fode-koita,Sivasspor,
0.55,0.19,1.83,1.05,30.3,1.33,48.98,0.44,2.16,13.68,4.54,1.05,49.03,2.05,İrfan Can Kahveci,irfan-can-kahveci,Fenerbahçe,
0.54,0.46,4.11,1.96,13.04,1.43,66.67,0.0,0.18,6.07,3.75,2.5,47.95,1.79,Stéphane Bahoken,stephane-bahoken,Kayserispor,
0.53,0.39,2.42,0.96,22.06,0.6,45.95,0.21,1.07,5.75,2.84,2.34,43.07,0.99,Mame Thiam,mame-thiam,Pendikspor,
0.53,0.49,3.27,1.47,16.25,0.57,43.75,0.16,0.61,4.37,2.37,2.74,45.13,1.39,Krzysztof Piątek,krzysztof-piatek,Başakşehir FK,
0.52,0.49,2.58,0.86,20.37,1.0,47.73,0.24,1.1,5.39,3.0,1.62,32.88,1.05,Sokol Cikalleshi,sokol-cikalleshi,Konyaspor,
0.49,0.41,3.09,1.25,15.85,0.91,48.0,0.08,0.57,4.3,3.51,3.25,44.64,2.15,Adam Buksa,adam-buksa,Antalyaspor,
0.47,0.4,2.65,0.88,17.65,1.35,41.27,0.16,0.67,6.43,3.73,0.78,38.84,1.87,Dal Varešanović,dal-varesanovic,Çaykur Rizespor,
0.46,0.41,3.36,1.26,13.75,2.9,52.27,0.25,0.97,6.14,6.43,2.19,40.76,1.51,Denis Drăguş,denis-dragus,Gaziantep FK,
0.44,0.53,2.21,0.89,20.0,1.11,48.39,0.15,0.44,2.66,3.25,2.29,43.1,1.48,Erencan Yardımcı,erencan-yardimci,,Pendikspor
0.44,0.46,2.8,1.0,15.71,1.04,45.61,0.52,2.68,8.98,2.93,0.6,41.9,0.96,Kerem Aktürkoğlu,kerem-akturkoglu,,Galatasaray
0.42,0.43,2.44,0.98,17.14,0.77,55.0,0.07,0.49,3.07,2.23,1.61,40.44,0.91,Adolfo Gaich,adolfo-gaich,,Çaykur Rizespor
0.41,0.46,3.2,1.42,12.96,0.53,40.91,0.06,0.59,4.5,1.89,4.85,37.62,1.07,Marius Mouandilmadji,marius-mouandilmadji,,Yılport Samsunspor
0.41,0.24,2.61,0.96,15.79,0.51,71.43,0.1,1.13,12.76,3.4,1.37,57.68,1.13,Aytaç Kara,aytac-kara,,Kasımpaşa
0.4,0.17,2.61,1.41,15.38,1.31,50.0,0.2,1.71,12.15,4.32,1.31,42.11,1.91,Nani,nani,,Adana Demirspor
0.4,0.12,1.61,0.4,25.0,0.0,0.0,0.0,0.8,5.22,2.21,3.21,38.03,2.01,Federico Macheda,federico-macheda,,MKE Ankaragücü
0.39,0.53,3.06,1.28,12.9,0.3,37.5,0.2,0.69,6.32,2.66,0.99,44.58,2.07,Serdar Dursun,serdar-dursun,,Fenerbahçe
0.39,0.36,2.8,1.4,13.89,0.62,50.0,0.0,0.93,7.54,3.81,5.21,50.22,2.25,Enis Destan,enis-destan,,Trabzonspor
0.38,0.35,2.52,0.82,15.22,0.6,30.56,0.0,0.77,3.89,2.08,1.86,37.89,0.88,Carlos Strandberg,carlos-strandberg,,Hatayspor
0.38,0.28,2.46,0.95,15.38,1.04,55.0,0.09,0.38,6.34,2.37,1.99,42.99,1.32,Vincent Aboubakar,vincent-aboubakar,,Beşiktaş
0.37,0.35,2.53,0.86,14.63,1.42,62.16,0.12,0.56,14.64,2.72,1.24,39.75,0.68,Olivier Ntcham,olivier-ntcham,,Yılport Samsunspor
0.36,0.27,1.66,0.67,21.62,1.75,60.94,0.63,2.29,12.75,4.0,0.45,43.04,1.3,Oğuz Aydın,oguz-aydin,,Alanyaspor
0.36,0.45,1.91,0.83,18.75,0.83,58.33,0.12,0.6,3.1,2.03,3.81,43.36,1.31,Riad Bajić,riad-bajic,,MKE Ankaragücü
0.35,0.31,2.69,1.09,13.04,0.27,24.14,0.51,2.26,10.57,4.37,0.23,50.43,1.48,Sebastian Szymański,sebastian-szymanski,,Fenerbahçe
0.33,0.24,1.76,0.66,18.75,0.33,33.33,0.44,0.99,6.07,4.41,0.77,43.93,2.21,Mehdi Abeid,mehdi-abeid,,Başakşehir FK
0.33,0.27,1.76,0.66,18.75,0.33,37.5,0.11,0.44,5.49,2.86,3.74,50.0,2.2,Mehmet Umut Nayir,mehmet-umut-nayir,,Pendikspor
0.33,0.18,2.02,0.55,16.22,1.09,54.05,0.33,1.69,8.12,2.89,0.22,47.11,0.87,Efkan Bekiroğlu,efkan-bekiroglu,,MKE Ankaragücü
0.32,0.26,2.87,0.96,11.11,1.28,80.0,0.0,0.32,6.38,3.19,1.6,45.45,0.96,Leandro Kappel,leandro-kappel,,Pendikspor
0.31,0.37,3.15,1.05,10.0,0.73,63.64,0.0,0.73,5.45,2.94,7.03,45.45,1.05,Ercan Kara,ercan-kara,,Yılport Samsunspor
0.31,0.22,1.76,0.67,17.78,0.98,47.17,0.16,1.8,5.87,2.74,0.98,42.04,1.1,Mamadou Fall,mamadou-fall,,Kasımpaşa
0.31,0.14,2.07,1.13,15.15,1.88,65.22,0.38,2.13,13.39,4.76,0.5,58.33,2.44,Samu Sáiz,samu-saiz,,Sivasspor
0.31,0.33,2.59,0.93,12.0,1.97,73.08,0.31,1.24,7.77,5.8,1.04,50.77,1.76,Thuram,thuram,,Pendikspor
0.31,0.15,1.61,0.93,19.23,1.36,44.0,0.0,0.62,6.2,3.53,0.81,40.94,1.24,Louka Prip,prip-louka,,Konyaspor
0.3,0.22,2.46,0.84,12.0,1.77,45.57,0.1,1.13,7.2,4.04,1.08,40.31,1.63,Güven Yalçın,guven-yalcin,,Fatih Karagümrük
0.29,0.13,0.47,0.41,62.5,0.12,100.0,0.0,0.29,5.18,2.0,2.06,55.2,0.71,Omar Colley,omar-colley,,Beşiktaş
0.29,0.16,1.45,0.87,20.0,1.45,55.56,0.14,1.45,6.37,4.77,2.03,47.0,1.88,Yusuf Barasi,yusuf-barasi,,Adana Demirspor
0.29,0.48,1.48,0.76,19.51,0.87,54.55,0.87,2.41,16.47,3.03,0.43,44.04,1.23,Dušan Tadić,dusan-tadic,,Fenerbahçe
0.29,0.32,2.2,1.15,13.04,1.34,58.33,0.38,1.25,8.24,3.26,0.38,40.43,0.38,Dimitrios Pelkas,dimitrios-pelkas,,Başakşehir FK
0.29,0.28,2.09,0.67,13.64,2.47,65.0,0.38,1.33,8.46,4.94,2.28,47.8,1.62,Didier Lamkel Zé,didier-lamkel-ze,,Hatayspor
0.28,0.37,1.77,1.06,16.0,1.06,44.12,0.07,0.99,7.49,3.89,0.99,38.76,1.62,Emir Kaan Gültekin,emir-kaan-gultekin,,İstanbulspor
0.28,0.37,1.67,0.83,16.67,0.83,50.0,0.07,0.9,4.79,2.57,2.85,38.61,1.32,Renat Dadaşov,renat-dadasov,,Hatayspor
0.27,0.37,2.56,1.05,10.71,2.56,52.83,0.14,1.01,6.54,5.12,1.28,43.08,1.23,Aylton Boa Morte,aylton-boa-morte,,Kayserispor
0.27,0.43,2.68,0.71,10.2,0.44,44.44,0.33,0.99,5.97,2.3,3.12,51.56,1.37,Cenk Tosun,cenk-tosun,,Beşiktaş
0.27,0.17,1.58,0.44,17.24,0.6,68.75,0.11,1.04,10.55,3.66,1.04,49.14,0.77,Tolga Ciğerci,tolga-cigerci,,MKE Ankaragücü
0.27,0.18,2.79,0.82,9.76,0.55,57.14,0.27,1.7,12.74,4.02,0.61,52.71,1.7,Anastasios Bakasetas,anastasios-bakasetas,,Trabzonspor
0.27,0.12,2.01,0.71,13.51,0.87,59.26,0.38,2.01,12.17,4.62,1.19,48.42,0.98,Kerem Demirbay,kerem-demirbay,,Galatasaray
