Gol,Başarılı Top Sürme,Başarılı Top Sürme %,Toplam Şut,İsabetli Şut,Yaratılan Büyük Şans,İsabetli Pas,İsabetli Pas %,Kilit Pas,İsabetli Orta,İsabetli Uzun Top,Top Çalma,Pas Arası,Zeminde Kazanılan İkili Mücadele,Kazanılan Hava Topu Mücadelesi,Kazanılan Toplam İkili Mücadele %,Kendisine Yapılan Faul,player.name,player.slug,team.name,team.shortName
1.73,0.58,42.86,6.91,3.84,0.19,18.42,76.19,0.58,0.0,1.34,0.96,0.19,2.11,1.15,34.0,0.58,Michy Batshuayi,michy-batshuayi,Fenerbahçe,
0.9,0.6,28.57,3.7,1.8,0.4,23.27,72.81,2.0,1.2,1.3,1.1,0.4,2.7,0.4,37.35,1.0,Cengiz Ünder,cengiz-under,Fenerbahçe,
0.77,0.62,38.24,3.84,1.63,0.05,14.12,73.5,0.34,0.0,0.62,0.48,0.1,3.79,2.45,44.37,2.79,Rey Manaj,rey-manaj,Sivasspor,
0.73,0.2,35.71,3.63,1.53,0.28,12.05,74.19,1.53,0.0,0.52,0.24,0.12,1.17,1.97,47.27,0.77,Mauro Icardi,mauro-icardi,Galatasaray,
0.73,0.54,46.15,2.72,1.36,0.0,10.79,79.87,0.82,0.18,0.36,0.27,0.0,1.72,1.27,35.48,0.91,M'Baye Niang,mbaye-niang,Adana Demirspor,
0.71,0.82,39.29,4.84,2.01,0.3,19.71,69.61,1.19,0.15,1.27,0.56,0.07,2.57,2.5,45.18,1.23,Edin Džeko,edin-dzeko,Fenerbahçe,
0.63,2.19,52.54,3.39,1.41,0.14,11.78,70.46,0.78,0.07,0.42,0.78,0.35,4.51,0.99,39.2,1.62,Semih Kılıçsoy,semih-kilicsoy,Beşiktaş,
0.63,1.84,58.33,2.63,1.05,0.16,12.76,63.78,1.1,0.11,0.42,0.84,0.21,4.57,2.36,50.77,1.94,Nuno Da Costa,nuno-da-costa,Kasımpaşa,
0.63,0.7,64.29,3.52,1.17,0.16,13.44,66.67,0.94,0.08,0.86,0.47,0.08,2.89,6.25,48.35,1.8,Paul Onuachu,paul-onuachu,Trabzonspor,
0.63,1.46,36.21,3.4,1.32,0.49,25.56,82.88,1.67,0.42,0.69,1.18,0.42,4.79,0.35,42.05,2.15,Mahmoud Trézéguet,mahmoud-trezeguet,Trabzonspor,
0.58,2.57,52.63,2.83,1.16,0.13,25.84,79.45,1.41,0.26,0.64,1.74,0.32,6.81,0.32,55.22,2.51,Wilfried Zaha,wilfried-zaha,Galatasaray,
0.53,1.37,50.0,1.85,1.0,0.42,28.91,80.12,2.22,1.27,1.74,1.42,1.06,4.7,1.11,50.0,2.06,İrfan Can Kahveci,irfan-can-kahveci,Fenerbahçe,
0.52,1.4,66.67,4.19,1.92,0.0,19.92,82.01,0.17,0.0,0.52,0.7,0.0,3.67,2.45,46.67,1.75,Stéphane Bahoken,stephane-bahoken,Kayserispor,
0.51,1.13,52.38,2.88,1.65,0.21,21.73,75.9,1.24,0.1,0.62,0.41,0.21,4.02,2.78,50.77,2.47,Bengali-Fodé Koita,bengali-fode-koita,Sivasspor,
0.51,0.58,45.95,2.37,0.96,0.24,17.73,72.21,1.1,0.24,0.51,1.2,0.41,2.74,2.4,42.61,0.96,Mame Thiam,mame-thiam,Pendikspor,
0.51,0.55,43.75,3.3,1.45,0.16,12.29,72.12,0.59,0.12,0.35,0.47,0.27,2.32,2.75,45.26,1.37,Krzysztof Piątek,krzysztof-piatek,Başakşehir FK,
0.51,1.01,47.83,2.58,0.83,0.23,12.39,71.93,1.11,0.0,0.37,0.92,0.09,2.95,1.7,33.55,1.01,Sokol Cikalleshi,sokol-cikalleshi,Konyaspor,
0.49,0.29,37.5,3.13,1.37,0.2,17.98,73.31,0.68,0.0,1.07,0.29,0.2,2.74,0.98,44.19,2.15,Serdar Dursun,serdar-dursun,Fenerbahçe,
0.47,0.87,46.15,2.98,1.2,0.07,12.65,67.57,0.58,0.04,0.33,0.58,0.33,3.49,3.16,43.99,2.18,Adam Buksa,adam-buksa,Antalyaspor,
0.45,1.45,43.94,2.65,0.85,0.15,20.28,78.83,0.65,0.2,1.0,0.6,0.35,3.75,0.75,39.13,1.8,Dal Varešanović,dal-varesanovic,Çaykur Rizespor,
0.44,2.86,52.99,3.27,1.25,0.32,14.52,66.54,1.25,0.12,0.32,1.94,0.24,6.29,2.14,40.66,1.49,Denis Drăguş,denis-dragus,,Gaziantep FK
0.44,1.11,48.39,2.21,0.89,0.15,10.92,71.84,0.44,0.0,0.22,0.66,0.0,3.25,2.29,43.1,1.48,Erencan Yardımcı,erencan-yardimci,,Pendikspor
0.44,1.03,45.61,2.78,0.99,0.52,19.71,66.27,2.74,1.47,1.39,0.99,0.52,2.97,0.59,42.06,0.95,Kerem Aktürkoğlu,kerem-akturkoglu,,Galatasaray
0.41,0.76,55.0,2.68,1.17,0.14,11.05,68.22,0.55,0.0,0.48,0.55,0.55,2.2,1.58,40.15,0.89,Adolfo Gaich,adolfo-gaich,,Çaykur Rizespor
0.41,0.51,71.43,2.61,0.96,0.1,36.68,81.98,1.13,0.55,2.16,1.92,0.58,3.4,1.37,57.68,1.13,Aytaç Kara,aytac-kara,,Kasımpaşa
0.41,1.37,55.56,1.51,0.96,0.14,17.42,75.6,1.37,0.0,0.55,1.37,0.55,4.66,2.06,47.57,1.92,Yusuf Barasi,yusuf-barasi,,Adana Demirspor
0.4,0.0,0.0,1.61,0.4,0.0,11.65,63.04,0.8,0.0,0.0,0.4,0.0,2.21,3.21,38.03,2.01,Federico Macheda,federico-macheda,,MKE Ankaragücü
0.39,0.5,40.91,3.14,1.34,0.06,10.2,54.49,0.56,0.06,0.06,0.28,0.0,1.91,4.82,37.5,1.12,Marius Mouandilmadji,marius-mouandilmadji,,Yılport Samsunspor
0.39,0.62,50.0,2.8,1.4,0.0,14.31,58.6,0.93,0.0,0.16,1.09,0.16,3.81,5.21,50.22,2.26,Enis Destan,enis-destan,,Trabzonspor
0.39,1.26,50.0,2.61,1.45,0.19,25.45,78.27,1.65,0.97,1.26,1.26,0.29,4.16,1.26,40.29,1.84,Nani,nani,,Adana Demirspor
0.39,1.76,62.12,1.72,0.73,0.73,26.48,74.94,2.32,0.9,1.29,1.03,0.39,4.04,0.43,43.51,1.25,Oğuz Aydın,oguz-aydin,,Alanyaspor
0.37,1.18,56.41,2.03,0.59,0.32,32.98,81.37,1.66,0.27,1.34,0.91,0.21,3.0,0.21,48.0,0.91,Efkan Bekiroğlu,efkan-bekiroglu,,MKE Ankaragücü
0.37,0.58,29.73,2.46,0.79,0.0,11.79,66.57,0.73,0.1,0.37,0.58,0.1,2.04,1.78,37.44,0.89,Carlos Strandberg,carlos-strandberg,,Hatayspor
0.36,0.83,58.33,1.91,0.83,0.12,7.87,56.41,0.6,0.0,0.72,0.12,0.0,2.03,3.81,43.36,1.31,Riad Bajić,riad-bajic,,MKE Ankaragücü
0.35,0.97,55.0,2.29,0.88,0.09,13.47,71.16,0.44,0.09,0.44,0.09,0.09,2.38,2.2,43.7,1.32,Vincent Aboubakar,vincent-aboubakar,,Beşiktaş
0.35,1.34,60.53,2.44,0.81,0.17,32.46,80.17,0.64,0.35,1.45,0.76,0.29,2.73,1.22,40.24,0.64,Olivier Ntcham,olivier-ntcham,,Yılport Samsunspor
0.34,0.26,22.58,2.74,1.05,0.53,20.39,77.57,2.25,1.58,0.94,2.59,0.45,4.36,0.23,49.8,1.5,Sebastian Szymański,sebastian-szymanski,,Fenerbahçe
0.33,0.11,100.0,0.56,0.44,0.0,52.72,87.63,0.28,0.0,2.72,1.22,1.61,2.0,2.06,54.48,0.67,Omar Colley,omar-colley,,Beşiktaş
